  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
199009,-6.99,-6.82,-6.79
199010,-5.91,-6.57,-6.77
199011,1.9,1.16,-0.04
199012,-1.1,-1.57,-2.74
199101,11.12,12.01,13.66
199102,12.97,13.11,13.1
199103,8.72,8.97,9.58
199104,2.82,3.04,4.47
199105,2.61,2.96,2.63
199106,-3.18,-3.38,-3.62
199107,3.8,3.72,4.43
199108,3.1,3.13,3.02
199109,-0.13,-0.51,-1.36
199110,1.78,2.1,0.78
199111,-2.87,-2.65,-2.78
199112,3.22,2.85,1.11
199201,20.88,22.8,29.94
199202,8.11,9.14,11.12
199203,0.96,1.06,0.68
199204,-1.87,-1.95,-1.94
199205,1.51,1.88,2.66
199206,-3.3,-3.27,-2.58
199207,2.79,2.66,2.38
199208,-2.67,-2.96,-2.9
199209,1.14,1.08,1.17
199210,1.83,2.15,2.09
199211,7.3,7.69,8.09
199212,5.53,5.75,6.32
199301,8.27,9.36,11.5
199302,1.34,1.11,1.71
199303,3.6,4.11,5.15
199304,-0.72,-0.22,0.36
199305,4.23,4.7,4.81
199306,2.07,2.15,2.24
199307,2.49,2.88,2.09
199308,2.97,2.53,2.23
199309,3.07,3.1,3.06
199310,4.18,4.5,4.46
199311,-1.54,-1.33,-1.09
199312,1.02,1.01,1.69
199401,6.63,7.54,8.45
199402,0.23,0.34,1.32
199403,-3.25,-2.75,-3.08
199404,0.22,0.34,0.07
199405,0.49,0.66,1.14
199406,-1.79,-1.74,-1.7
199407,1.82,1.71,1.88
199408,3.44,3.31,3.34
199409,1.4,1.47,1.81
199410,0.23,-0.01,-0.07
199411,-3.51,-3.6,-3.84
199412,-0.75,-1.12,-1.15
199501,4.27,4.12,3.52
199502,3.57,3.89,4.31
199503,1.45,1.49,1.65
199504,3.65,3.87,4.38
199505,2.72,3.12,2.87
199506,3.97,3.96,4.06
199507,4.95,5.32,5.42
199508,4.26,4.28,4.7
199509,2.98,3.31,3.35
199510,-3.37,-3.43,-3.3
199511,1.21,0.96,0.58
199512,1.16,0.8,0.4
199601,3.64,3.82,4.62
199602,3.56,3.89,4.34
199603,2.8,2.86,2.67
199604,4.97,5.52,5.4
199605,7.05,7.24,8.04
199606,-1.53,-1.51,-1.45
199607,-5.86,-5.89,-6.43
199608,3.79,3.61,3.72
199609,2.69,2.39,2.12
199610,0.04,-0.13,-0.39
199611,3.47,3.08,3.09
199612,0.5,-0.05,-0.32
199701,6.42,6.72,6.2
199702,1.52,1.69,2.09
199703,-2.19,-2.11,-1.72
199704,-1.51,-1.8,-2.25
199705,6.94,6.6,6.27
199706,5.32,5.43,5.51
199707,5.33,5.21,4.89
199708,3.9,4.24,4.7
199709,8.9,9.08,9.58
